osmid,name,start_lat,start_lon,end_lat,end_lon,slope_percentage,abs_slope_percentage,length,geometry
294921171,Lorenz Avenue,40.4444651,-80.0399088,40.4442338,-80.0402564,0.5506325973641769,0.5506325973641769,39.074,"LINESTRING (-80.0399088 40.4444651, -80.0402564 40.4442338)"
11651757,Ainsworth Street,40.444201,-80.0395987,40.4436411,-80.0389524,0.966406178049272,0.966406178049272,82.869,"LINESTRING (-80.0395987 40.444201, -80.0389524 40.4436411)"
11651757,Ainsworth Street,40.4436411,-80.0389524,40.444201,-80.0395987,-0.966406178049272,0.966406178049272,82.869,"LINESTRING (-80.0389524 40.4436411, -80.0395987 40.444201)"
88317666,Leaf Street,40.4186305,-80.0023558,40.4183036,-80.0039819,0.3324773325826252,0.3324773325826252,142.378,"LINESTRING (-80.0023558 40.4186305, -80.0036081 40.4183908, -80.0039819 40.4183036)"
11651864,North Negley Avenue,40.4634975,-79.9306816,40.4640704,-79.9303217,0.2226494375524155,0.2226494375524155,70.606,"LINESTRING (-79.9306816 40.4634975, -79.9306219 40.463593, -79.9303217 40.4640704)"
625866850,North Negley Avenue,40.4681528,-79.9278713,40.4687528,-79.927504,0.7959697678103672,0.7959697678103672,73.597,"LINESTRING (-79.9278713 40.4681528, -79.9278519 40.4681845, -79.927546 40.4686843, -79.927504 40.4687528)"
302198440,North Negley Avenue,40.4687528,-79.927504,40.4697695,-79.92706,-0.8394332146933912,0.8394332146933912,119.128,"LINESTRING (-79.927504 40.4687528, -79.9274722 40.4688217, -79.92706 40.4697695)"
625866850,North Negley Avenue,40.4687528,-79.927504,40.4681528,-79.9278713,-0.7959697678103672,0.7959697678103672,73.597,"LINESTRING (-79.927504 40.4687528, -79.927546 40.4686843, -79.9278519 40.4681845, -79.9278713 40.4681528)"
11812824,Hays Street,40.4697695,-79.92706,40.4695453,-79.9264327,0.0,0.0,58.629,"LINESTRING (-79.92706 40.4697695, -79.9264327 40.4695453)"
302198440,North Negley Avenue,40.4697695,-79.92706,40.470646,-79.9266756,-0.4276174721271767,0.4276174721271767,102.744,"LINESTRING (-79.92706 40.4697695, -79.9266756 40.470646)"
302198440,North Negley Avenue,40.4697695,-79.92706,40.4687528,-79.927504,0.8394332146933912,0.8394332146933912,119.128,"LINESTRING (-79.92706 40.4697695, -79.9274722 40.4688217, -79.927504 40.4687528)"
302198440,North Negley Avenue,40.470646,-79.9266756,40.4697695,-79.92706,0.4276174721271767,0.4276174721271767,102.744,"LINESTRING (-79.9266756 40.470646, -79.92706 40.4697695)"
302198440,North Negley Avenue,40.470646,-79.9266756,40.4715418,-79.9262701,-0.5731646604284663,0.5731646604284663,105.349,"LINESTRING (-79.9266756 40.470646, -79.9263 40.4714771, -79.9262701 40.4715418)"
800260049,Baywood Street,40.470646,-79.9266756,40.4708624,-79.9272813,0.776170471799923,0.776170471799923,56.605,"LINESTRING (-79.9266756 40.470646, -79.9267357 40.4706675, -79.926752 40.4706733, -79.9272813 40.4708624)"
302198440,North Negley Avenue,40.4715418,-79.9262701,40.470646,-79.9266756,0.5731646604284663,0.5731646604284663,105.349,"LINESTRING (-79.9262701 40.4715418, -79.9263 40.4714771, -79.9266756 40.470646)"
800260050,Stanton Avenue,40.4715418,-79.9262701,40.471761,-79.9268846,-0.7570998869361947,0.7570998869361947,57.411,"LINESTRING (-79.9262701 40.4715418, -79.9263452 40.4715686, -79.9268846 40.471761)"
559359136,North Negley Avenue,40.4728268,-79.9256938,40.4732589,-79.9255044,0.3478802857366691,0.3478802857366691,50.648,"LINESTRING (-79.9256938 40.4728268, -79.9255044 40.4732589)"
559359136,North Negley Avenue,40.4732589,-79.9255044,40.4728268,-79.9256938,-0.3478802857366691,0.3478802857366691,50.648,"LINESTRING (-79.9255044 40.4732589, -79.9256938 40.4728268)"
11719997,Hampton Street,40.4754367,-79.9245416,40.4751244,-79.9236584,0.9362178978909258,0.9362178978909258,82.382,"LINESTRING (-79.9245416 40.4754367, -79.9236584 40.4751244)"
329776219,Bryant Street,40.4772441,-79.9237436,40.4768012,-79.9226116,-0.0123847222200297,0.0123847222200297,107.67,"LINESTRING (-79.9237436 40.4772441, -79.9236365 40.4772022, -79.9235994 40.4771877, -79.9226116 40.4768012)"
11709500,Elgin Street,40.4779901,-79.9232925,40.4784759,-79.9245459,-0.0071950802927094,0.0071950802927094,118.983,"LINESTRING (-79.9232925 40.4779901, -79.9233715 40.4780205, -79.9239225 40.4782228, -79.9242388 40.4783394, -79.9244075 40.4784113, -79.9245459 40.4784759)"
11841069,Laird Street,40.4817138,-80.0269733,40.4825129,-80.0270364,0.9561498626979033,0.9561498626979033,89.016,"LINESTRING (-80.0269733 40.4817138, -80.0270364 40.4825129)"
405680702,Davis Avenue,40.4817084,-80.0339443,40.4815388,-80.0348649,0.5558522031362421,0.5558522031362421,80.113,"LINESTRING (-80.0339443 40.4817084, -80.0347454 40.4815624, -80.0348649 40.4815388)"
54365549,Davis Avenue,40.4812769,-80.0360128,40.4809607,-80.0373265,-0.0121387580557137,0.0121387580557137,116.539,"LINESTRING (-80.0360128 40.4812769, -80.0373265 40.4809607)"
54365549,Davis Avenue,40.4812769,-80.0360128,40.4815388,-80.0348649,0.0251912626735923,0.0251912626735923,101.359,"LINESTRING (-80.0360128 40.4812769, -80.035049 40.4815023, -80.0348649 40.4815388)"
54365549,Davis Avenue,40.4809607,-80.0373265,40.4804911,-80.0393119,0.1523781359135194,0.1523781359135194,175.852,"LINESTRING (-80.0373265 40.4809607, -80.0393119 40.4804911)"
54365549,Davis Avenue,40.4809607,-80.0373265,40.4812769,-80.0360128,0.0121387580557137,0.0121387580557137,116.539,"LINESTRING (-80.0373265 40.4809607, -80.0360128 40.4812769)"
54365549,Davis Avenue,40.4804911,-80.0393119,40.4803666,-80.0398352,-0.6140785499958579,0.6140785499958579,46.374,"LINESTRING (-80.0393119 40.4804911, -80.0398352 40.4803666)"
54365549,Davis Avenue,40.4804911,-80.0393119,40.4809607,-80.0373265,-0.1523781359135194,0.1523781359135194,175.852,"LINESTRING (-80.0393119 40.4804911, -80.0373265 40.4809607)"
11688846,Kalorama Way,40.4803666,-80.0398352,40.4812827,-80.0401471,-0.6301361030428544,0.6301361030428544,105.226,"LINESTRING (-80.0398352 40.4803666, -80.0401471 40.4812827)"
